seed,method_id,method,status,test_episodes,first_scenario_seed,last_scenario_seed,source_file,source_status
3,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_3/epsilon/all_episode_results.csv,original_23_seed_archive
3,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_3/noisy/all_episode_results.csv,original_23_seed_archive
3,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_3/rnd/all_episode_results.csv,original_23_seed_archive
3,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_3/all_episode_results.csv,original_23_seed_archive
5,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_5/epsilon/all_episode_results.csv,original_23_seed_archive
5,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_5/noisy/all_episode_results.csv,original_23_seed_archive
5,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_5/rnd/all_episode_results.csv,original_23_seed_archive
5,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_5/all_episode_results.csv,original_23_seed_archive
7,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_7/epsilon/all_episode_results.csv,original_23_seed_archive
7,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_7/noisy/all_episode_results.csv,original_23_seed_archive
7,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_7/rnd/all_episode_results.csv,original_23_seed_archive
7,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_7/all_episode_results.csv,original_23_seed_archive
9,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_9/epsilon/all_episode_results.csv,original_23_seed_archive
9,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_9/noisy/all_episode_results.csv,original_23_seed_archive
9,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_9/rnd/all_episode_results.csv,original_23_seed_archive
9,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_9/all_episode_results.csv,original_23_seed_archive
13,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_13/epsilon/all_episode_results.csv,original_23_seed_archive
13,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_13/noisy/all_episode_results.csv,original_23_seed_archive
13,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_13/rnd/all_episode_results.csv,original_23_seed_archive
13,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_13/all_episode_results.csv,original_23_seed_archive
17,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_17/epsilon/all_episode_results.csv,original_23_seed_archive
17,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_17/noisy/all_episode_results.csv,original_23_seed_archive
17,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_17/rnd/all_episode_results.csv,original_23_seed_archive
17,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_17/all_episode_results.csv,original_23_seed_archive
19,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_19/epsilon/all_episode_results.csv,original_23_seed_archive
19,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_19/noisy/all_episode_results.csv,original_23_seed_archive
19,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_19/rnd/all_episode_results.csv,original_23_seed_archive
19,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_19/all_episode_results.csv,original_23_seed_archive
29,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_29/epsilon/all_episode_results.csv,original_23_seed_archive
29,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_29/noisy/all_episode_results.csv,original_23_seed_archive
29,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_29/rnd/all_episode_results.csv,original_23_seed_archive
29,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_29/all_episode_results.csv,original_23_seed_archive
31,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_31/epsilon/all_episode_results.csv,original_23_seed_archive
31,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_31/noisy/all_episode_results.csv,original_23_seed_archive
31,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_31/rnd/all_episode_results.csv,original_23_seed_archive
31,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_31/all_episode_results.csv,original_23_seed_archive
33,epsilon,Epsilon-Greedy,PASS,300,100000,100299,04_data/raw/baselines/seed_33/epsilon/all_episode_results.csv,original_23_seed_archive
33,noisy,NoisyNet DQN,PASS,300,100000,100299,04_data/raw/baselines/seed_33/noisy/all_episode_results.csv,original_23_seed_archive
33,rnd,DQN + RND,PASS,300,100000,100299,04_data/raw/baselines/seed_33/rnd/all_episode_results.csv,original_23_seed_archive
33,safetypool,SafetyPool,PASS,300,100000,100299,04_data/raw/safetypool/seed_33/all_episode_results.csv,original_23_seed_archive
